Summary run status                                 OK
                 
Artifacts dir                                      2021-02-05_18-05-45 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        jira 8.13.3         
Dataset info                                       1058822 issues      
Application nodes count                            4                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           2897 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           False               

Action                                            Success Rate        Avg time            Status              
jmeter_add_comment:open_comment                    100.0               0.053               OK                  
jmeter_add_comment:save_comment                    100.0               0.136               OK                  
jmeter_browse_boards                               100.0               0.055               OK                  
jmeter_browse_projects                             100.0               0.042               OK                  
jmeter_create_issue:fill_and_submit_issue_form     100.0               0.188               OK                  
jmeter_create_issue:open_quick_create              100.0               0.093               OK                  
jmeter_edit_issue:open_editor                      100.0               0.071               OK                  
jmeter_edit_issue:save_edit                        100.0               0.28                OK                  
jmeter_login_and_view_dashboard                    100.0               0.438               OK                  
jmeter_search_jql                                  100.0               0.439               OK                  
jmeter_view_backlog                                100.0               0.248               OK                  
jmeter_view_dashboard                              100.0               0.229               OK                  
jmeter_view_issue                                  100.0               0.159               OK                  
jmeter_view_kanban_board                           100.0               0.196               OK                  
jmeter_view_project_summary                        100.0               0.17                OK                  
jmeter_view_scrum_board                            100.0               0.105               OK                  
selenium_a_login                                   100.0               0.646               OK                  
selenium_browse_boards_list                        100.0               0.302               OK                  
selenium_browse_projects_list                      100.0               0.277               OK                  
selenium_create_issue                              100.0               1.883               OK                  
selenium_edit_issue                                100.0               1.487               OK                  
selenium_save_comment                              100.0               1.256               OK                  
selenium_search_jql                                100.0               1.194               OK                  
selenium_view_backlog_for_scrum_board              100.0               1.088               OK                  
selenium_view_dashboard                            100.0               0.446               OK                  
selenium_view_issue                                100.0               0.614               OK                  
selenium_view_kanban_board                         100.0               0.716               OK                  
selenium_view_project_summary                      100.0               0.431               OK                  
selenium_view_scrum_board                          100.0               0.806               OK                  
selenium_z_log_out                                 100.0               0.342               OK                  
