Summary run status                                 OK
                 
Artifacts dir                                      2021-02-04_18-26-00 
OS                                                 Linux               
DC Apps Performance Toolkit version                4.0.0               
Application                                        jira 8.13.3         
Dataset info                                       1053041 issues      
Application nodes count                            1                   
Concurrency                                        200                 
Expected test run duration from yml file           2700 sec            
Actual test run duration                           2896 sec            
Finished                                           (True, 'OK')        
Compliant                                          (True, 'OK')        
Success                                            (True, 'OK')        
Has app-specific actions                           False               

Action                                            Success Rate        Avg time            Status              
jmeter_add_comment:open_comment                    100.0               0.06                OK                  
jmeter_add_comment:save_comment                    100.0               0.177               OK                  
jmeter_browse_boards                               100.0               0.062               OK                  
jmeter_browse_projects                             100.0               0.045               OK                  
jmeter_create_issue:fill_and_submit_issue_form     100.0               0.226               OK                  
jmeter_create_issue:open_quick_create              100.0               0.075               OK                  
jmeter_edit_issue:open_editor                      100.0               0.079               OK                  
jmeter_edit_issue:save_edit                        100.0               0.319               OK                  
jmeter_login_and_view_dashboard                    100.0               0.386               OK                  
jmeter_search_jql                                  100.0               0.453               OK                  
jmeter_view_backlog                                100.0               0.247               OK                  
jmeter_view_dashboard                              100.0               0.25                OK                  
jmeter_view_issue                                  100.0               0.18                OK                  
jmeter_view_kanban_board                           100.0               0.191               OK                  
jmeter_view_project_summary                        100.0               0.454               OK                  
jmeter_view_scrum_board                            100.0               0.107               OK                  
selenium_a_login                                   100.0               1.035               OK                  
selenium_browse_boards_list                        100.0               0.3                 OK                  
selenium_browse_projects_list                      100.0               0.255               OK                  
selenium_create_issue                              98.25               1.97                OK                  
selenium_edit_issue                                100.0               1.499               OK                  
selenium_save_comment                              100.0               1.313               OK                  
selenium_search_jql                                100.0               1.046               OK                  
selenium_view_backlog_for_scrum_board              100.0               1.05                OK                  
selenium_view_dashboard                            100.0               0.454               OK                  
selenium_view_issue                                100.0               0.615               OK                  
selenium_view_kanban_board                         100.0               0.704               OK                  
selenium_view_project_summary                      100.0               0.389               OK                  
selenium_view_scrum_board                          100.0               0.791               OK                  
selenium_z_log_out                                 100.0               0.322               OK                  
